MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Sale Type,SalePrice,PropertyAge,PropertyModAge,GarageAge
160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,483.0,GasA,TA,Y,SBrkr,483,504,987,0.0,1,1,TA,4,Typ,0,None,Detchd,Unf,1.0,264.0,TA,TA,Y,0,0,Jul,COD,11.355101379776661,37,37,37.0
20,RL,64.0,7488,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,1208.0,GasA,Ex,Y,SBrkr,1208,0,1208,0.0,2,0,Gd,6,Typ,0,None,Attchd,RFn,2.0,632.0,TA,TA,Y,105,58,Feb,WD ,12.120514757168527,1,1,1.0
70,RL,120.0,26400,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,None,None,None,None,0.0,None,0.0,GasA,Ex,Y,SBrkr,1288,728,2016,0.0,1,0,TA,7,Mod,1,TA,Attchd,Unf,2.0,576.0,TA,TA,P,0,0,Jun,WD ,11.782952602183288,129,2,109.0
160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,960.0,GasA,Ex,Y,SBrkr,962,645,1607,1.0,2,1,Gd,7,Typ,0,None,Detchd,Unf,2.0,480.0,TA,TA,Y,169,0,Dec,ConLD,12.206072645530174,9,8,8.0
20,RL,74.0,9627,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,1351.0,GasA,Ex,Y,SBrkr,1361,0,1361,0.0,2,0,Gd,6,Typ,0,None,Attchd,RFn,2.0,610.0,TA,TA,Y,0,50,Jun,WD ,12.170445467887022,1,1,1.0
20,RL,93.0,10114,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,1430.0,GasA,Ex,Y,SBrkr,1430,0,1430,0.0,2,0,Gd,7,Typ,0,None,Attchd,RFn,2.0,624.0,TA,TA,Y,0,0,Mar,WD ,12.063932878369052,6,5,6.0
70,RM,34.0,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,624.0,GasA,Fa,N,SBrkr,624,720,1344,0.0,1,0,TA,7,Typ,0,None,Detchd,Unf,3.0,513.0,Fa,Fa,Y,0,0,May,COD,11.49272275765271,92,58,92.0
20,RL,80.0,8816,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,1121.0,GasA,TA,Y,SBrkr,1121,0,1121,1.0,1,0,TA,5,Typ,0,None,Detchd,Unf,2.0,480.0,TA,TA,Y,0,80,Jun,WD ,11.842229212112828,46,46,46.0
20,RL,71.0,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,660.0,GasA,Ex,Y,SBrkr,1285,0,1285,0.0,1,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,528.0,TA,TA,Y,138,0,Apr,WD ,11.874090314181814,30,30,30.0
60,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,756.0,GasA,Ex,Y,SBrkr,764,783,1547,0.0,2,1,Gd,7,Typ,0,None,Attchd,Unf,2.0,614.0,TA,TA,Y,169,45,Jun,Con,12.279323107269766,1,1,1.0
20,RL,109.0,8724,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,894.0,GasA,Gd,Y,SBrkr,894,0,894,0.0,1,0,TA,5,Typ,1,Po,Attchd,Fin,2.0,450.0,TA,TA,Y,0,0,May,WD ,11.76756768334381,39,39,39.0
120,RL,40.0,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,1501.0,GasA,Ex,Y,SBrkr,1659,0,1659,1.0,2,0,Ex,5,Typ,1,Ex,Attchd,Fin,2.0,499.0,TA,TA,Y,212,59,Oct,WD ,12.535376392672774,9,9,9.0
60,RL,103.0,12867,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,1209.0,GasA,Ex,Y,SBrkr,1209,1044,2253,0.0,2,1,Ex,8,Typ,1,Gd,Attchd,Fin,2.0,575.0,TA,TA,Y,243,142,Jul,New,12.748783489541202,1,0,1.0
20,RL,63.0,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,1168.0,GasA,Ex,Y,SBrkr,1187,0,1187,1.0,2,0,TA,6,Typ,0,None,Attchd,Fin,2.0,420.0,TA,TA,Y,483,21,Mar,WD ,12.128111104060462,18,3,18.0
190,RL,100.0,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,1056.0,GasA,TA,N,SBrkr,1056,0,1056,1.0,1,0,TA,5,Typ,0,None,Attchd,Fin,2.0,572.0,TA,TA,Y,264,0,Jan,WD ,11.884489021402711,51,51,51.0
20,RL,92.0,10573,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,1453.0,GasA,Ex,Y,SBrkr,1453,0,1453,1.0,2,0,TA,6,Typ,1,TA,Attchd,RFn,2.0,530.0,TA,TA,Y,0,49,Apr,WD ,12.141534124392603,48,48,48.0
20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,894.0,GasA,Ex,Y,SBrkr,894,0,894,1.0,1,0,TA,5,Typ,1,Gd,Detchd,Unf,1.0,336.0,TA,TA,Y,416,144,Apr,WD ,11.83862560460953,45,1,37.0
50,RL,64.0,11700,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,942.0,GasA,Ex,Y,SBrkr,1265,673,1938,0.0,2,0,Gd,7,Min2,1,Gd,Detchd,Unf,1.0,240.0,TA,TA,Y,0,40,Jul,WD ,12.196022309676673,71,13,71.0
190,C (all),75.0,8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,957.0,GasA,Fa,N,SBrkr,1034,957,1991,0.0,2,0,TA,9,Typ,0,None,None,None,0.0,0.0,None,None,N,0,0,Jun,WD ,11.691908120498669,112,1,0.0
50,RL,60.0,8064,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,672.0,GasA,Ex,Y,SBrkr,672,252,924,0.0,1,0,TA,6,Typ,1,Po,Detchd,Unf,2.0,576.0,TA,TA,Y,0,0,Jul,WD ,11.719126295554126,58,1,4.0
20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,2524.0,GasA,TA,Y,SBrkr,2524,0,2524,1.0,2,1,Gd,9,Typ,1,Gd,Attchd,Fin,2.0,542.0,TA,TA,Y,474,120,Jul,WD ,12.535376392672774,28,28,28.0
70,RL,64.0,11435,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,792.0,GasA,Fa,Y,SBrkr,792,725,1517,0.0,1,0,Gd,7,Typ,2,Gd,Detchd,Unf,2.0,400.0,TA,TA,Y,0,0,Jun,WD ,12.345834587905333,77,56,75.0
120,RL,30.0,9549,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1494.0,GasA,Ex,Y,SBrkr,1494,0,1494,1.0,1,1,Ex,6,Typ,1,Gd,Attchd,Fin,2.0,481.0,TA,TA,Y,0,30,Apr,WD ,12.506177237980511,11,10,11.0
20,RL,60.0,10950,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,948.0,GasA,TA,Y,SBrkr,948,0,948,0.0,1,0,TA,5,Typ,0,None,Detchd,Unf,2.0,410.0,TA,TA,N,0,48,Apr,WD ,11.736069016284437,55,55,55.0
20,RL,79.0,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,1705.0,GasA,Ex,Y,SBrkr,1718,0,1718,1.0,2,0,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,826.0,TA,TA,Y,208,44,Sep,WD ,12.601487417784837,2,1,2.0
20,RL,80.0,9000,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,160.0,GasA,Fa,Y,SBrkr,1142,0,1142,0.0,1,0,TA,5,Typ,1,Gd,Basment,RFn,1.0,384.0,TA,TA,Y,0,28,Apr,WD ,11.639558115903595,51,51,51.0
160,RM,41.0,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,757.0,GasA,Ex,Y,SBrkr,925,550,1475,0.0,2,0,TA,6,Typ,1,TA,Attchd,RFn,1.0,336.0,TA,TA,Y,104,26,Jul,WD ,11.751942365440728,29,29,29.0
20,RL,105.0,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,1844.0,GasA,Ex,Y,SBrkr,1844,0,1844,0.0,2,0,TA,7,Typ,1,TA,Attchd,RFn,2.0,546.0,TA,TA,Y,0,122,Jan,COD,12.154779351142624,33,33,33.0
20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,1242.0,GasA,Fa,Y,SBrkr,1242,0,1242,0.0,1,1,TA,6,Typ,1,TA,Attchd,Unf,2.0,528.0,TA,TA,Y,0,0,Sep,WD ,12.075394321888057,34,34,34.0
20,RL,60.0,8428,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,990.0,GasA,Ex,Y,SBrkr,990,0,990,1.0,1,0,TA,5,Typ,0,None,Detchd,Unf,1.0,384.0,TA,TA,Y,256,0,Jul,WD ,11.891361900690473,13,13,12.0
20,RL,75.0,9937,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,1256.0,GasA,Gd,Y,SBrkr,1256,0,1256,1.0,1,1,TA,6,Typ,0,None,Attchd,Fin,1.0,276.0,TA,TA,Y,736,68,Jun,WD ,11.901583454762012,43,43,43.0
20,RL,107.0,13891,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386.0,Unf,2076.0,GasA,Ex,Y,SBrkr,2076,0,2076,1.0,2,1,Ex,7,Typ,1,Gd,Attchd,Fin,3.0,850.0,TA,TA,Y,216,229,Sep,New,13.049792684569493,0,0,0.0
85,RL,74.0,9101,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,1097.0,GasA,Ex,Y,SBrkr,1110,0,1110,1.0,1,0,Gd,4,Typ,1,TA,Attchd,Fin,2.0,602.0,TA,TA,Y,303,30,Jul,WD ,12.016726473799254,31,31,31.0
50,RM,81.0,12150,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,1050.0,GasA,Ex,N,FuseF,1050,745,1795,0.0,2,0,TA,7,Typ,0,None,Attchd,Unf,1.0,352.0,Fa,TA,Y,0,0,Nov,WD ,11.786762130599957,54,54,54.0
20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,1040.0,GasA,Ex,Y,SBrkr,1040,0,1040,1.0,1,0,TA,5,Typ,0,None,Detchd,Unf,1.0,384.0,TA,TA,Y,0,0,Feb,WD ,11.771436160121729,43,43,43.0
70,RL,100.0,9670,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,608.0,GasA,TA,Y,SBrkr,983,890,1873,0.0,1,1,TA,9,Typ,2,Gd,Detchd,Fin,2.0,786.0,Fa,TA,Y,0,0,Jun,WD ,12.45712704000522,73,58,73.0
50,RL,60.0,10998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,984.0,GasA,Ex,Y,SBrkr,984,620,1604,0.0,2,0,TA,6,Min2,0,None,Detchd,Unf,2.0,660.0,TA,TA,Y,0,68,Jul,WD ,11.669929213779893,68,49,32.0
70,RL,60.0,7200,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,776.0,GasA,TA,Y,SBrkr,851,651,1502,0.0,1,1,TA,6,Typ,1,Gd,Attchd,RFn,1.0,270.0,TA,TA,P,0,0,Feb,WD ,11.911701584927597,77,8,77.0
20,RL,80.0,9920,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,1056.0,GasA,TA,Y,SBrkr,1063,0,1063,1.0,1,0,TA,6,Typ,0,None,Attchd,RFn,1.0,280.0,TA,TA,Y,0,0,Feb,WD ,11.759785542901755,56,56,56.0
160,RL,36.0,2448,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,764.0,GasA,Ex,Y,SBrkr,764,862,1626,0.0,2,1,Gd,6,Typ,0,None,BuiltIn,RFn,2.0,474.0,TA,TA,Y,0,27,Oct,WD ,11.951180395901384,5,4,5.0
160,FV,73.0,2998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,756.0,GasA,Ex,Y,SBrkr,768,756,1524,0.0,2,1,Gd,4,Typ,0,None,Detchd,Unf,2.0,440.0,TA,TA,Y,0,32,Jun,WD ,12.01974306733868,6,6,6.0
50,RL,65.0,7804,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,1122.0,GasA,TA,Y,SBrkr,1328,653,1981,1.0,2,0,Gd,7,Min2,2,TA,Detchd,Unf,2.0,576.0,TA,TA,Y,431,44,Dec,WD ,11.813030057420567,81,59,28.0
60,RL,80.0,16692,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,LwQ,1392.0,GasA,TA,Y,SBrkr,1392,1392,2784,1.0,3,1,Gd,12,Typ,2,TA,Attchd,RFn,2.0,564.0,TA,TA,Y,0,112,Jul,WD ,12.429216196844383,28,28,28.0
160,RM,21.0,1476,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,176.0,Unf,546.0,GasA,Ex,Y,SBrkr,546,546,1092,0.0,1,1,TA,5,Typ,0,None,None,None,0.0,0.0,None,None,Y,200,26,Mar,WD ,11.238488619268468,40,40,0.0
20,RL,75.0,10170,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,216.0,GasA,TA,Y,SBrkr,1575,0,1575,0.0,1,1,Gd,5,Typ,1,Gd,Attchd,Unf,2.0,400.0,TA,TA,Y,0,0,Jun,WD ,11.951180395901384,55,55,55.0
60,RL,80.0,9364,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,TA,TA,CBlock,TA,TA,No,ALQ,371.0,Unf,663.0,GasA,TA,Y,SBrkr,663,689,1352,0.0,1,1,TA,7,Typ,0,None,Attchd,Fin,1.0,299.0,TA,TA,Y,379,36,Mar,WD ,11.970350312009105,41,41,41.0
